m1,m2,n,obs,indep_sim,acc_min,same_provider
01-ai_yi-34b,allenai_olmo-7b,625,0.2016,0.6576,0.29026730637422893,False
01-ai_yi-34b,anthropic_claude-3-5-sonnet-20241022,237,0.5569620253164557,0.9367088607594937,0.7018505825908157,False
01-ai_yi-34b,anthropic_claude-3-haiku-20240307,602,0.6212624584717608,0.8953488372093024,0.6658670322138451,False
01-ai_yi-34b,cohere_command-r-plus,564,0.6648936170212766,0.9095744680851063,0.6494174091843729,False
01-ai_yi-34b,databricks_dbrx-instruct,598,0.6638795986622074,0.8879598662207357,0.6572995202193284,False
01-ai_yi-34b,deepseek-ai_deepseek-llm-67b-chat,650,0.7076923076923077,0.8907692307692308,0.6569568197395477,False
01-ai_yi-34b,google_gemini-1.5-pro-002,293,0.590443686006826,0.9215017064846417,0.7018505825908157,False
01-ai_yi-34b,google_gemma-2-27b,583,0.5248713550600344,0.8542024013722127,0.6507882111034955,False
01-ai_yi-34b,google_text-unicorn@001,503,0.6401590457256461,0.9363817097415507,0.7018505825908157,False
01-ai_yi-34b,meta_llama-3.1-405b-instruct-turbo,294,0.6122448979591837,0.9591836734693877,0.7018505825908157,False
01-ai_yi-34b,meta_llama-3.1-70b-instruct-turbo,392,0.6224489795918368,0.9387755102040817,0.7018505825908157,False
01-ai_yi-34b,meta_llama-3.1-8b-instruct-turbo,626,0.3817891373801917,0.731629392971246,0.5092529129540782,False
01-ai_yi-34b,microsoft_phi-3-medium-4k-instruct,429,0.6666666666666666,0.9347319347319347,0.7018505825908157,False
01-ai_yi-34b,mistralai_mistral-7b-v0.1,652,0.6042944785276073,0.8726993865030674,0.4986291980808773,False
01-ai_yi-34b,mistralai_mistral-large-2407,398,0.5804020100502513,0.9045226130653267,0.7018505825908157,False
01-ai_yi-34b,openai_gpt-3.5-turbo-0125,662,0.6570996978851964,0.879154078549849,0.570938999314599,False
01-ai_yi-34b,openai_gpt-4o-2024-08-06,344,0.5348837209302325,0.9011627906976745,0.7018505825908157,False
01-ai_yi-34b,openai_gpt-4o-mini-2024-07-18,606,0.6518151815181518,0.9207920792079208,0.6665524331734064,False
01-ai_yi-34b,qwen_qwen1.5-7b,664,0.6882530120481928,0.858433734939759,0.5407813570939,False
01-ai_yi-34b,qwen_qwen2.5-72b-instruct-turbo,343,0.6618075801749271,0.9416909620991254,0.7018505825908157,False
01-ai_yi-34b,writer_palmyra-x-v3,504,0.6388888888888888,0.9384920634920635,0.7018505825908157,False
allenai_olmo-7b,anthropic_claude-3-5-sonnet-20241022,283,0.3992932862190813,0.657243816254417,0.29026730637422893,False
allenai_olmo-7b,anthropic_claude-3-haiku-20240307,769,0.3368010403120936,0.6436931079323797,0.29026730637422893,False
allenai_olmo-7b,cohere_command-r-plus,767,0.3076923076923077,0.6505867014341591,0.29026730637422893,False
allenai_olmo-7b,databricks_dbrx-instruct,824,0.4830097087378641,0.6359223300970874,0.29026730637422893,False
allenai_olmo-7b,deepseek-ai_deepseek-llm-67b-chat,734,0.2016348773841962,0.6743869209809265,0.29026730637422893,False
allenai_olmo-7b,google_gemini-1.5-pro-002,334,0.3203592814371258,0.6976047904191617,0.29026730637422893,False
allenai_olmo-7b,google_gemma-2-27b,834,0.38609112709832133,0.6211031175059952,0.29026730637422893,False
allenai_olmo-7b,google_text-unicorn@001,685,0.22189781021897811,0.6744525547445256,0.29026730637422893,False
allenai_olmo-7b,meta_llama-3.1-405b-instruct-turbo,318,0.4119496855345912,0.7295597484276729,0.29026730637422893,False
allenai_olmo-7b,meta_llama-3.1-70b-instruct-turbo,479,0.44467640918580376,0.6743215031315241,0.29026730637422893,False
allenai_olmo-7b,meta_llama-3.1-8b-instruct-turbo,866,0.31524249422632794,0.5935334872979214,0.29026730637422893,False
allenai_olmo-7b,microsoft_phi-3-medium-4k-instruct,451,0.3303769401330377,0.6651884700665188,0.29026730637422893,False
allenai_olmo-7b,mistralai_mistral-7b-v0.1,814,0.13513513513513514,0.6228501228501229,0.29026730637422893,False
allenai_olmo-7b,mistralai_mistral-large-2407,408,0.25245098039215685,0.6691176470588235,0.29026730637422893,False
allenai_olmo-7b,openai_gpt-3.5-turbo-0125,874,0.20137299771167047,0.6304347826086957,0.29026730637422893,False
allenai_olmo-7b,openai_gpt-4o-2024-08-06,407,0.4275184275184275,0.6633906633906634,0.29026730637422893,False
allenai_olmo-7b,openai_gpt-4o-mini-2024-07-18,750,0.324,0.664,0.29026730637422893,False
allenai_olmo-7b,qwen_qwen1.5-7b,897,0.25195094760312153,0.6298773690078038,0.29026730637422893,False
allenai_olmo-7b,qwen_qwen2.5-72b-instruct-turbo,367,0.3024523160762943,0.6376021798365122,0.29026730637422893,False
allenai_olmo-7b,writer_palmyra-x-v3,685,0.22189781021897811,0.6642335766423357,0.29026730637422893,False
anthropic_claude-3-5-sonnet-20241022,anthropic_claude-3-haiku-20240307,269,0.5836431226765799,0.8736059479553904,0.6658670322138451,True
anthropic_claude-3-5-sonnet-20241022,cohere_command-r-plus,254,0.5,0.8858267716535433,0.6494174091843729,False
anthropic_claude-3-5-sonnet-20241022,databricks_dbrx-instruct,262,0.549618320610687,0.916030534351145,0.6572995202193284,False
anthropic_claude-3-5-sonnet-20241022,deepseek-ai_deepseek-llm-67b-chat,272,0.4889705882352941,0.8676470588235294,0.6569568197395477,False
anthropic_claude-3-5-sonnet-20241022,google_gemini-1.5-pro-002,228,0.7105263157894737,0.8991228070175439,0.8468128855380398,False
anthropic_claude-3-5-sonnet-20241022,google_gemma-2-27b,271,0.5350553505535055,0.8339483394833949,0.6507882111034955,False
anthropic_claude-3-5-sonnet-20241022,google_text-unicorn@001,258,0.6085271317829457,0.9418604651162791,0.7097326936257711,False
anthropic_claude-3-5-sonnet-20241022,meta_llama-3.1-405b-instruct-turbo,234,0.7905982905982906,0.9444444444444444,0.8526387936943112,False
anthropic_claude-3-5-sonnet-20241022,meta_llama-3.1-70b-instruct-turbo,243,0.6995884773662552,0.9259259259259259,0.7998629198080878,False
anthropic_claude-3-5-sonnet-20241022,meta_llama-3.1-8b-instruct-turbo,254,0.43700787401574803,0.6732283464566929,0.5092529129540782,False
anthropic_claude-3-5-sonnet-20241022,microsoft_phi-3-medium-4k-instruct,235,0.6510638297872341,0.9148936170212766,0.7268677176148046,False
anthropic_claude-3-5-sonnet-20241022,mistralai_mistral-7b-v0.1,238,0.4327731092436975,0.8571428571428571,0.4986291980808773,False
anthropic_claude-3-5-sonnet-20241022,mistralai_mistral-large-2407,247,0.6032388663967612,0.8582995951417004,0.7875257025359835,False
anthropic_claude-3-5-sonnet-20241022,openai_gpt-3.5-turbo-0125,281,0.47686832740213525,0.8612099644128114,0.570938999314599,False
anthropic_claude-3-5-sonnet-20241022,openai_gpt-4o-2024-08-06,242,0.7024793388429752,0.8884297520661157,0.8159698423577793,False
anthropic_claude-3-5-sonnet-20241022,openai_gpt-4o-mini-2024-07-18,272,0.6360294117647058,0.9080882352941176,0.6665524331734064,False
anthropic_claude-3-5-sonnet-20241022,qwen_qwen1.5-7b,261,0.48659003831417624,0.8773946360153256,0.5407813570939,False
anthropic_claude-3-5-sonnet-20241022,qwen_qwen2.5-72b-instruct-turbo,236,0.711864406779661,0.9152542372881356,0.817340644276902,False
anthropic_claude-3-5-sonnet-20241022,writer_palmyra-x-v3,258,0.6085271317829457,0.9069767441860465,0.7093899931459904,False
anthropic_claude-3-haiku-20240307,cohere_command-r-plus,674,0.5890207715133531,0.8516320474777448,0.6494174091843729,False
anthropic_claude-3-haiku-20240307,databricks_dbrx-instruct,699,0.6123032904148784,0.8469241773962805,0.6572995202193284,False
anthropic_claude-3-haiku-20240307,deepseek-ai_deepseek-llm-67b-chat,699,0.5522174535050072,0.8526466380543634,0.6569568197395477,False
anthropic_claude-3-haiku-20240307,google_gemini-1.5-pro-002,330,0.5666666666666667,0.8757575757575757,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,google_gemma-2-27b,686,0.5087463556851312,0.8177842565597667,0.6507882111034955,False
anthropic_claude-3-haiku-20240307,google_text-unicorn@001,591,0.5228426395939086,0.8849407783417935,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,meta_llama-3.1-405b-instruct-turbo,307,0.6221498371335505,0.9250814332247557,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,meta_llama-3.1-70b-instruct-turbo,426,0.6173708920187794,0.8849765258215962,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,meta_llama-3.1-8b-instruct-turbo,682,0.436950146627566,0.7228739002932552,0.5092529129540782,False
anthropic_claude-3-haiku-20240307,microsoft_phi-3-medium-4k-instruct,445,0.6022471910112359,0.8921348314606742,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,mistralai_mistral-7b-v0.1,707,0.5417256011315418,0.8373408769448374,0.4986291980808773,False
anthropic_claude-3-haiku-20240307,mistralai_mistral-large-2407,404,0.6113861386138614,0.8539603960396039,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,openai_gpt-3.5-turbo-0125,767,0.5449804432855281,0.847457627118644,0.570938999314599,False
anthropic_claude-3-haiku-20240307,openai_gpt-4o-2024-08-06,388,0.6030927835051546,0.8737113402061856,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,openai_gpt-4o-mini-2024-07-18,703,0.6699857752489331,0.883357041251778,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,qwen_qwen1.5-7b,748,0.6122994652406417,0.8288770053475936,0.5407813570939,False
anthropic_claude-3-haiku-20240307,qwen_qwen2.5-72b-instruct-turbo,369,0.5718157181571816,0.8915989159891599,0.6658670322138451,False
anthropic_claude-3-haiku-20240307,writer_palmyra-x-v3,592,0.5219594594594594,0.8851351351351351,0.6658670322138451,False
cohere_command-r-plus,databricks_dbrx-instruct,699,0.5894134477825465,0.8540772532188842,0.6494174091843729,False
cohere_command-r-plus,deepseek-ai_deepseek-llm-67b-chat,670,0.6104477611940299,0.8597014925373134,0.6494174091843729,False
cohere_command-r-plus,google_gemini-1.5-pro-002,291,0.5773195876288659,0.8556701030927835,0.6494174091843729,False
cohere_command-r-plus,google_gemma-2-27b,656,0.4923780487804878,0.8414634146341463,0.6494174091843729,False
cohere_command-r-plus,google_text-unicorn@001,591,0.5939086294416244,0.9086294416243654,0.6494174091843729,False
cohere_command-r-plus,meta_llama-3.1-405b-instruct-turbo,299,0.6120401337792643,0.9364548494983278,0.6494174091843729,False
cohere_command-r-plus,meta_llama-3.1-70b-instruct-turbo,412,0.6189320388349514,0.9053398058252428,0.6494174091843729,False
cohere_command-r-plus,meta_llama-3.1-8b-instruct-turbo,634,0.39589905362776023,0.7097791798107256,0.5092529129540782,False
cohere_command-r-plus,microsoft_phi-3-medium-4k-instruct,424,0.6226415094339622,0.8867924528301887,0.6494174091843729,False
cohere_command-r-plus,mistralai_mistral-7b-v0.1,679,0.5434462444771723,0.8159057437407953,0.4986291980808773,False
cohere_command-r-plus,mistralai_mistral-large-2407,376,0.5079787234042553,0.8563829787234043,0.6494174091843729,False
cohere_command-r-plus,openai_gpt-3.5-turbo-0125,712,0.547752808988764,0.8525280898876404,0.570938999314599,False
cohere_command-r-plus,openai_gpt-4o-2024-08-06,351,0.48717948717948717,0.8689458689458689,0.6494174091843729,False
cohere_command-r-plus,openai_gpt-4o-mini-2024-07-18,662,0.5936555891238671,0.8942598187311178,0.6494174091843729,False
cohere_command-r-plus,qwen_qwen1.5-7b,763,0.5740498034076016,0.8348623853211009,0.5407813570939,False
cohere_command-r-plus,qwen_qwen2.5-72b-instruct-turbo,322,0.546583850931677,0.9099378881987578,0.6494174091843729,False
cohere_command-r-plus,writer_palmyra-x-v3,592,0.5929054054054054,0.9121621621621622,0.6494174091843729,False
databricks_dbrx-instruct,deepseek-ai_deepseek-llm-67b-chat,695,0.60431654676259,0.8460431654676259,0.6569568197395477,False
